Address ,Price ,Pay For A Year ,Rooms ,City ,Build Size ,Floor ,Balcony ,Area ,Type 
קדושי מצרים 35,"4,200 ₪",12,0,אבן יהודה,270,7 מתוך 7,1,מושבים בשרון,דירה
הראשונים 3,"3,300 ₪",12,4.5,נס ציונה,30,8 מתוך 10,1,נס ציונה - רחובות,דירה
"רמב""ם 12","4,000 ₪",12,1.0,ראשון לציון,154,קרקע מתוך קרקע,0,"ראשל""צ והסביבה",דירה
סמטת הדרור 1,"5,800 ₪",12,0,אשקלון,117,1 מתוך 5,0,אשדוד - אשקלון,דירה
יוסף נדבה 2,"5,300 ₪",12,0,הוד השרון,375,1 מתוך 4,2,הוד השרון והסביבה,דירה
תל צור 15,"12,700 ₪",12,0,תל אביב יפו,117,4 מתוך 4,0,תל אביב,בית פרטי/קוטג'
גולי דמשק 15,"3,000 ₪",12,0,קרית מוצקין,60,2 מתוך 7,0,קריות,יחידת דיור
שיבת ציון 21,"4,500 ₪",12,2.5,ירושלים,56,4 מתוך 8,0,ירושלים והסביבה,דירה
אלעד 24,"3,400 ₪",12,0,פרדסיה,145,קרקע מתוך 4,0,מושבים בשרון,יחידת דיור
המעגל 38,"4,000 ₪",12,1.0,גבעת שמואל,66,3 מתוך 3,2,בקעת אונו,יחידת דיור
דרור 23,300 ₪,12,0,תל אביב יפו,57,קרקע מתוך קרקע,0,תל אביב,סאבלט
גרושקביץ' 11,"2,800 ₪",12,0,חיפה,64,קרקע מתוך קרקע,1,חיפה וחוף הכרמל,יחידת דיור
עליית הנוער 13,"3,600 ₪",12,0,תל אביב יפו,41,קרקע מתוך 1,0,תל אביב,יחידת דיור
סמטת הדרור 1,"2,500 ₪",12,0,קרית אונו,40,7 מתוך 10,0,בקעת אונו,יחידת דיור
הנשיא 7,"4,350 ₪",12,0,קרית גת,70,4 מתוך 4,0,באר שבע והסביבה,דירה
ירמיהו 23,"16,000 ₪",12,0,רמת גן,100,2 מתוך 4,1,רמת גן - גבעתיים,דירה
שדרות הצבי 25,"6,500 ₪",12,0,רמלה,85,3 מתוך 4,0,רמלה - לוד,דירה
משה ברזאני 11,"14,000 ₪",12,0,תל אביב יפו,90,2 מתוך 4,0,תל אביב,דירה
הברוש 6,"4,900 ₪",12,0,רמת גן,116,2 מתוך 4,0,רמת גן - גבעתיים,דירה
אסא 44,"7,500 ₪",12,0,חניאל,25,קרקע מתוך קרקע,0,חדרה וישובי עמק חפר,בית פרטי/קוטג'
בר יוחאי 18,"5,600 ₪",4,1.0,בית אל,155,קרקע מתוך קרקע,0,ירושלים והסביבה,דירה
משה לוי 2,0,12,5.0,באר שבע,45,קרקע מתוך 1,2,באר שבע והסביבה,דירת גן
קהילת לבוב 22,"3,600 ₪",12,0,גבעתיים,200,1 מתוך 2,0,רמת גן - גבעתיים,דירה
שרה אהרונסון 40,"9,800 ₪",12,0,אשקלון,0,1 מתוך 3,0,אשדוד - אשקלון,גג/פנטהאוז
סמטת הפרדס 1,"2,400 ₪",12,0,ירושלים,100,4 מתוך 4,0,ירושלים והסביבה,סטודיו/לופט
כ' בחשוון 1,"3,250 ₪",12,0,ראש העין,60,7 מתוך 18,1,ראש העין והסביבה,דירה
קלישר 30,"2,800 ₪",0,0,תל אביב יפו,35,קרקע מתוך 2,0,תל אביב,דירה
כצנלסון 81,"8,000 ₪",12,0,חולון,80,קרקע מתוך 9,0,חולון - בת ים,דירה
בת גלים 7,700 ₪,12,0,קרית גת,100,3 מתוך 4,0,באר שבע והסביבה,תיירות ונופש
שדרות בן צבי 29,"5,900 ₪",12,0,ראשון לציון,155,3 מתוך 3,0,"ראשל""צ והסביבה",גג/פנטהאוז
אלברט איינשטיין 29,"5,500 ₪",12,0,קרית שמונה,119,1 מתוך 1,1,גליל ועמקים,דירה
מטלון,"7,700 ₪",12,2.0,נס ציונה,80,קרקע מתוך 32,0,נס ציונה - רחובות,דירה
אליהו קראוזה 33,"4,400 ₪",12,0,ראשון לציון,90,9 מתוך 13,1,"ראשל""צ והסביבה",דירה
גולני 3,"3,000 ₪",1,0,חולון,60,1 מתוך 3,0,חולון - בת ים,גג/פנטהאוז
הזהרון,"3,350 ₪",12,3.0,תל אביב יפו,175,2 מתוך 5,1,תל אביב,יחידת דיור
בוסתן 30,"2,400 ₪",12,0,תל אביב יפו,50,5 מתוך 17,4,תל אביב,יחידת דיור
פעמונית 12,"3,800 ₪",12,0,חיפה,62,3 מתוך 9,0,חיפה וחוף הכרמל,מרתף/פרטר
חיל החימוש 38,"7,200 ₪",12,0,ראש העין,120,2 מתוך 3,1,ראש העין והסביבה,דירה
ההסתדרות 122,"4,450 ₪",12,5.0,נהריה,142,1 מתוך 5,1,עכו - נהריה,דירה
אלתרמן 21,"8,600 ₪",12,0,ירושלים,79,4 מתוך 4,0,ירושלים והסביבה,דירה
בילטמור 1,"10,890 ₪",12,0,קרית אתא,60,1 מתוך 4,1,קריות,דירה
העלייה השנייה 17,"2,000 ₪",12,3.0,בת ים,160,קרקע מתוך 4,1,חולון - בת ים,דירה
יואל 4,"6,400 ₪",12,0,חיפה,70,5 מתוך 6,0,חיפה וחוף הכרמל,דירה
חניתה 6,"2,600 ₪",12,0,אילת,70,4 מתוך 4,2,אילת והערבה,יחידת דיור
שמיר 60,"12,000 ₪",12,0,כרמיאל,70,1 מתוך 3,3,כרמיאל והסביבה,דו משפחתי
מרכז העיר,"2,800 ₪",12,0,רעננה,108,4 מתוך 4,0,רעננה - כפר סבא,דירה
ירושלים 24,"4,500 ₪",12,4.0,הרצליה,30,4 מתוך 4,1,רמת השרון - הרצליה,דירה
א.ד. גורדון 25,"3,900 ₪",12,0,אורה,70,4 מתוך 5,0,ירושלים והסביבה,דירה
עמקה,"3,800 ₪",12,2.0,חריש,150,5 מתוך 7,1,פרדס חנה - כרכור,יחידת דיור
סיני 613,"2,800 ₪",12,4.0,עכו,89,4 מתוך 4,0,עכו - נהריה,דירה
משעול המרגנית 4,"2,700 ₪",12,0,קיסריה,55,קרקע מתוך 3,0,קיסריה והסביבה,דירה
בר אילן 29,"7,400 ₪",12,4.0,בת ים,125,2 מתוך 2,0,חולון - בת ים,דירה
אריק איינשטיין 18,"9,600 ₪",12,0,ירושלים,98,2 מתוך 6,0,ירושלים והסביבה,דירה
לוטם 154,"4,700 ₪",12,0,חיפה,75,8 מתוך 8,0,חיפה וחוף הכרמל,סאבלט
שוהם 74,"3,500 ₪",12,0,נתניה,90,2 מתוך 3,0,נתניה והסביבה,דירה
יהודה בורלא 36,"2,650 ₪",12,0,בת ים,80,קרקע מתוך 3,0,חולון - בת ים,דירה
גל 4,"8,000 ₪",12,0,חולון,50,קרקע מתוך 2,0,חולון - בת ים,יחידת דיור
ארלוזורוב 21,"5,000 ₪",12,0,כפר סבא,142,5 מתוך 5,0,רעננה - כפר סבא,דירה
איסלנד 30,"3,000 ₪",12,0,נתניה,1,2 מתוך 4,0,נתניה והסביבה,מחסן
שלונסקי 6,"3,000 ₪",12,0,באר שבע,60,2 מתוך 9,1,באר שבע והסביבה,דירה
ארצי שרמן 2,"8,600 ₪",12,0,תל אביב יפו,70,קרקע מתוך קרקע,0,תל אביב,דירה
דרך בן גוריון 138,"5,500 ₪",12,0,אילת,66,קרקע מתוך 4,0,אילת והערבה,דירה
התותחנים 11,"4,500 ₪",12,0,רחובות,115,קרקע מתוך 2,0,נס ציונה - רחובות,דירה
רבקה גובר 3,"6,500 ₪",12,0,בת ים,209,4 מתוך 9,1,חולון - בת ים,דירה
שמורת נחל שניר 5,"7,500 ₪",12,0,תל אביב יפו,40,קרקע מתוך 8,0,תל אביב,דירה
שדרות ירושלים 76,"3,000 ₪",12,3.0,רעננה,45,1 מתוך 3,0,רעננה - כפר סבא,דירה
"הפלמ""ח 31","5,400 ₪",12,0,בת ים,68,4 מתוך 4,0,חולון - בת ים,דירה
רוזמרין 4,0,1,0,רמת גן,144,7 מתוך 20,0,רמת גן - גבעתיים,דירה
"תר""ן 9","4,800 ₪",12,0,רמת גן,95,1 מתוך 9,1,רמת גן - גבעתיים,דירה
בלפור 90,0,12,0,תל אביב יפו,59,1 מתוך 1,2,תל אביב,דירה
נצח ישראל 9,"9,200 ₪",12,1.0,גת רימון,90,4 מתוך 4,0,בקעת אונו,דירה
נעמי שמר 24,"7,950 ₪",12,0,תל אביב יפו,94,2 מתוך 3,0,תל אביב,דירה
מתתיהו גנם 6,"2,400 ₪",12,0,רחובות,24,2 מתוך 3,0,נס ציונה - רחובות,דירה
אבטליון 4,"5,000 ₪",12,0,חולון,65,1 מתוך 3,1,חולון - בת ים,דירה
דרך זאב ז'בוטינסקי 75,"5,750 ₪",12,0,רמת גן,78,3 מתוך 4,0,רמת גן - גבעתיים,גג/פנטהאוז
י.ל. פרץ 20,"8,700 ₪",12,0,חיפה,95,3 מתוך 4,3,חיפה וחוף הכרמל,סאבלט
האקליפטוס 1,"4,800 ₪",12,3.0,נהריה,30,16 מתוך 42,1,עכו - נהריה,בית פרטי/קוטג'
שלום עליכם 24,"9,000 ₪",12,0,בת ים,75,12 מתוך 13,0,חולון - בת ים,דירה
יהודה גורודיסקי 28,"7,500 ₪",12,5.0,רעננה,69,1 מתוך 5,0,רעננה - כפר סבא,דירה
השילוח 14,"6,500 ₪",12,0,מודיעין מכבים רעות,1,1 מתוך 3,0,מודיעין והסביבה,גג/פנטהאוז
ביאליק 92,"4,400 ₪",1,0,גבעתיים,125,2 מתוך 3,0,רמת גן - גבעתיים,דירת גן
משה שרת 1,"3,400 ₪",12,0,אשקלון,94,2 מתוך 4,0,אשדוד - אשקלון,דירה
דרך השלום 1,"4,000 ₪",0,0,תל אביב יפו,150,2 מתוך 2,0,תל אביב,דירה
ז'בוטינסקי 4,"6,500 ₪",12,0,ראש העין,100,1 מתוך 6,1,ראש העין והסביבה,דירה
דוד אלעזר 2,"7,950 ₪",12,0,מודיעין מכבים רעות,90,קרקע מתוך 2,0,מודיעין והסביבה,דירה
עמק האלה 31,"6,000 ₪",0,0,חיפה,377,2 מתוך 4,1,חיפה וחוף הכרמל,דירת גן
וייצמן 34,"5,600 ₪",1,1.5,ארבל,286,2 מתוך 5,2,טבריה והסביבה,דירה
בר כוכבא 37,"3,400 ₪",12,0,לוד,150,3 מתוך 4,2,רמלה - לוד,דירה
אוסישקין 12,"6,750 ₪",12,6.0,ראש העין,80,6 מתוך 13,1,ראש העין והסביבה,סאבלט
נתן אלתרמן 1,"6,100 ₪",12,0,קרית ביאליק,125,2 מתוך 2,0,קריות,דירה
תרשיש 27,"10,500 ₪",12,0,בת ים,110,2 מתוך 4,0,חולון - בת ים,בית פרטי/קוטג'
דרך אלנבי 145,"1,900 ₪",12,0,רמת גן,111,1 מתוך 4,0,רמת גן - גבעתיים,דירה
המייסדים 26,"2,800 ₪",12,0,תל אביב יפו,60,קרקע מתוך 2,2,תל אביב,בית פרטי/קוטג'
צמרות 14,"3,600 ₪",12,0,תל אביב יפו,113,קרקע מתוך קרקע,0,תל אביב,דירה
שמואל הנביא 25,"8,500 ₪",12,0,תל אביב יפו,96,קרקע מתוך 2,0,תל אביב,דירה
הדקלים 10,"3,900 ₪",12,0,תל אביב יפו,60,2 מתוך 2,1,תל אביב,דירה
דניאל 57,"3,800 ₪",12,0,חיפה,126,1 מתוך 6,1,חיפה וחוף הכרמל,דירה
חיים לנדאו 7,"7,000 ₪",12,0,תל אביב יפו,90,קרקע מתוך קרקע,1,תל אביב,דירה
חנה רובינא 9,"9,700 ₪",12,0,לוד,90,4 מתוך 4,1,רמלה - לוד,דירה
קהילת ורשה 95,"3,600 ₪",12,0,פתח תקווה,118,4 מתוך 4,0,פתח תקוה והסביבה,דירה
הכרמל 28,"9,000 ₪",12,0,תל אביב יפו,300,8 מתוך 17,0,תל אביב,דירה
ארבע ארצות 39,"9,000 ₪",12,0,באר יעקב,90,5 מתוך 9,3,"ראשל""צ והסביבה",דירה
נעמי 10,"4,100 ₪",12,0,פתח תקווה,70,9 מתוך 13,1,פתח תקוה והסביבה,דירה
"הש""ך 5","4,300 ₪",12,0,ראשון לציון,85,קרקע מתוך קרקע,0,"ראשל""צ והסביבה",דירה
שדרות שלמה המלך 16,"3,800 ₪",12,0,אור עקיבא,135,2 מתוך 2,0,קיסריה והסביבה,דירה
דוד וולפסון 34,"4,700 ₪",1,0,ראשון לציון,180,1 מתוך 4,1,"ראשל""צ והסביבה",דירה
ניסים אלוני 4,"11,000 ₪",12,5.0,קרית גת,210,קרקע מתוך 4,0,באר שבע והסביבה,דירה
אהוד מנור 5,"6,600 ₪",12,0,חיפה,65,1 מתוך 4,0,חיפה וחוף הכרמל,דירה
נחלת צבי 15,"6,000 ₪",12,1.5,קרית שמונה,64,1 מתוך 4,0,גליל ועמקים,דירה
ברנשטיין 52,"5,000 ₪",12,0,באר שבע,58,2 מתוך 4,0,באר שבע והסביבה,יחידת דיור
יהודה הלוי 19,"4,000 ₪",12,3.0,עוצם,72,2 מתוך 7,0,אשדוד - אשקלון,דירה
"איתמר בן אב""י 12","5,800 ₪",12,0,רמת השרון,125,4 מתוך 4,0,רמת השרון - הרצליה,דירה
שוהם 44,"11,000 ₪",12,0,באר שבע,60,1 מתוך 2,1,באר שבע והסביבה,דירה
חורב 43,"7,800 ₪",12,0,חולון,112,5 מתוך 5,1,חולון - בת ים,דירת גן
אחד העם 10,100 ₪,12,0,ירושלים,30,5 מתוך 8,1,ירושלים והסביבה,יחידת דיור
סעדיה גאון 4,"3,500 ₪",12,0,רמת גן,80,קרקע מתוך קרקע,2,רמת גן - גבעתיים,דירת גן
עוצם 8,"3,400 ₪",12,0,הוד השרון,92,קרקע מתוך קרקע,1,הוד השרון והסביבה,יחידת דיור
רות 1,"7,500 ₪",12,0,רמת גן,115,5 מתוך 7,0,רמת גן - גבעתיים,דירה
נחום שריג 29,"4,200 ₪",12,0,באר שבע,55,1 מתוך 5,2,באר שבע והסביבה,דירה
שפרינצק 11,"5,700 ₪",12,0,אשקלון,335,3 מתוך 8,0,אשדוד - אשקלון,דירה
השופט חיים כהן 18,"75,000 ₪",12,0,רמלה,78,2 מתוך 2,0,רמלה - לוד,דירה
"הרא""ה 193","5,200 ₪",1,0,באר שבע,74,3 מתוך 3,0,באר שבע והסביבה,דירה
אסירי ציון 16,"7,000 ₪",12,0,נהריה,45,6 מתוך 7,1,עכו - נהריה,דירה
אריה בן אליעזר 8,"6,500 ₪",12,3.0,תנובות,90,3 מתוך 4,0,מושבים בשרון,דירה
אלכסנדר ינאי 28,"2,400 ₪",12,1.0,רעננה,75,5 מתוך 9,0,רעננה - כפר סבא,דירה
סברי מרנן 1,0,12,0,באר שבע,137,1 מתוך 1,0,באר שבע והסביבה,בית פרטי/קוטג'
לבונה 7,"4,000 ₪",12,0,בת ים,78,1 מתוך 4,1,חולון - בת ים,יחידת דיור
סעדיה גאון 4,"3,300 ₪",12,0,רמלה,94,קרקע מתוך קרקע,1,רמלה - לוד,דירה
קרן היסוד 25,"5,200 ₪",12,5.0,עפולה,50,5 מתוך 7,0,עמק יזרעאל,דירה
כנען 66,"6,200 ₪",12,2.0,בית דגן,82,3 מתוך 9,0,"ראשל""צ והסביבה",דו משפחתי
מוצקין 19,"4,900 ₪",12,5.0,אשדוד,200,קרקע מתוך קרקע,1,אשדוד - אשקלון,יחידת דיור
סמטת קדש 30,"2,600 ₪",12,7.0,ירושלים,130,3 מתוך 3,0,ירושלים והסביבה,דירה
בלפור 69,"4,300 ₪",12,0,פתח תקווה,30,קרקע מתוך 3,1,פתח תקוה והסביבה,דירה
משה לוי 3,"5,000 ₪",12,0,תל אביב יפו,200,15 מתוך 20,1,תל אביב,דירה
החורש 7,"4,600 ₪",12,0,חיפה,38,4 מתוך 12,1,חיפה וחוף הכרמל,דירה
התמר 30,"3,200 ₪",12,0,תל אביב יפו,112,5 מתוך 8,0,תל אביב,דירה
רובע ה,"7,200 ₪",12,0,בני ברק,90,2 מתוך 3,1,רמת גן - גבעתיים,דירה
מחנה יהודה,"18,400 ₪",12,0,תל אביב יפו,132,1 מתוך 5,0,תל אביב,וילה
"המהר""ל מפראג","4,300 ₪",12,5.0,נהריה,125,3 מתוך 3,0,עכו - נהריה,דירה
המשנה,"9,000 ₪",12,0,פתח תקווה,65,1 מתוך 1,0,פתח תקוה והסביבה,דירה
סטרומה 4,"2,800 ₪",12,0,חיפה,80,14 מתוך 17,1,חיפה וחוף הכרמל,דירה
סמאטס,"8,100 ₪",12,0,ירושלים,72,3 מתוך 3,0,ירושלים והסביבה,דירה
הבנים,"6,500 ₪",12,0,ירושלים,11,2 מתוך 4,2,ירושלים והסביבה,דירה
ארבר מנחם 8,"5,500 ₪",12,2.0,גן יבנה,170,1 מתוך 6,0,אשדוד - אשקלון,דירה
ליבנה 1,"4,800 ₪",12,3.0,מצפה יריחו,50,קרקע מתוך 3,2,ירושלים והסביבה,דירה
חנה רובינא 24,"2,900 ₪",12,8.5,שערי תקווה,85,4 מתוך 4,2,יישובי השומרון,דירה
אברהם סכנין 19,"3,800 ₪",12,0,תל אביב יפו,85,7 מתוך 9,0,תל אביב,דירה
שדרות משה דיין 8,"5,500 ₪",12,0,לוד,25,קרקע מתוך קרקע,0,רמלה - לוד,דירה
מונבז 3,"12,000 ₪",12,0,אשדוד,80,קרקע מתוך קרקע,0,אשדוד - אשקלון,דירה
חבר 14,"3,600 ₪",12,0,גבעתיים,112,קרקע מתוך קרקע,0,רמת גן - גבעתיים,יחידת דיור
ברקת 1,"2,200 ₪",1,0,גבעתיים,70,1 מתוך 2,0,רמת גן - גבעתיים,יחידת דיור
אביבים 26,"8,800 ₪",0,5.5,חריש,32,6 מתוך 8,0,פרדס חנה - כרכור,דו משפחתי
דיזנגוף 336,0,12,0,ראשון לציון,65,3 מתוך 12,0,"ראשל""צ והסביבה",דירה
שדרות שלמה המלך 103,"3,500 ₪",12,3.0,פרדס חנה כרכור,97,2 מתוך 6,0,פרדס חנה - כרכור,דירה
שדרות הפרחים 11,"3,600 ₪",12,2.0,גבעון החדשה,61,3 מתוך 4,2,ירושלים והסביבה,יחידת דיור
חוגלה 4,"6,000 ₪",12,0,רמלה,80,קרקע מתוך 3,0,רמלה - לוד,בית פרטי/קוטג'
סירקין 24,"7,500 ₪",12,0,באר שבע,109,14 מתוך 20,0,באר שבע והסביבה,דירה
עברונה 9,"6,300 ₪",12,0,נתניה,47,2 מתוך 3,0,נתניה והסביבה,דירה
הקהילה 20,"4,150 ₪",12,0,אשקלון,80,2 מתוך 4,0,אשדוד - אשקלון,דירה
האחים סולימן 15,"4,950 ₪",12,0,ראשון לציון,140,7 מתוך 11,0,"ראשל""צ והסביבה",דירה
אלחריזי 1,"4,300 ₪",12,0,תל אביב יפו,80,3 מתוך 4,0,תל אביב,דירה
מבוא הליבנה 4,"3,600 ₪",12,4.0,נעלה,90,3 מתוך 3,1,מודיעין והסביבה,יחידת דיור
אהוד מנור 7,"5,000 ₪",12,3.0,באר יעקב,165,1 מתוך 5,1,"ראשל""צ והסביבה",דירה
פרופסור שמואל אייזנשטדט 5,"8,200 ₪",12,4.0,קרית אונו,100,4 מתוך 4,0,בקעת אונו,בית פרטי/קוטג'
דרך הפארק 18,"8,000 ₪",12,4.0,שדרות,76,1 מתוך 1,1,באר שבע והסביבה,דירה
יורם ורון 3,"2,200 ₪",11,0,באר שבע,122,3 מתוך 3,0,באר שבע והסביבה,סטודיו/לופט
הר ציון 26,"16,000 ₪",12,0,רמת גן,69,6 מתוך 10,0,רמת גן - גבעתיים,דו משפחתי
השופטים 12,"5,500 ₪",12,3.0,נשר,68,קרקע מתוך קרקע,0,חיפה וחוף הכרמל,דירה
ענבר 81,"4,600 ₪",12,0,תל אביב יפו,110,3 מתוך 3,1,תל אביב,דירה
דגן 1,"5,500 ₪",12,0,באר יעקב,114,2 מתוך 2,0,"ראשל""צ והסביבה",דירה
דרך לוי אשכול 121,"7,600 ₪",12,0,תל אביב יפו,50,2 מתוך 4,0,תל אביב,דירה
